Class_ID,Class_Name,Unicode_Character,Precision,Recall,F1_Score,Support
73,74,ට්‍ර,0.7741935483870968,1.0,0.8727272727272727,24
74,75,ට්‍ර්,0.95,0.7916666666666666,0.8636363636363636,24
75,76,ට්‍රි,0.8214285714285714,0.9583333333333334,0.8846153846153846,24
76,77,ඩ,1.0,0.9583333333333334,0.9787234042553191,24
77,78,ඩා,0.8518518518518519,0.9583333333333334,0.9019607843137255,24
78,79,ඩැ,0.8461538461538461,0.9166666666666666,0.88,24
79,80,ඩෑ,1.0,0.5833333333333334,0.7368421052631579,24
80,81,ඩි,0.8214285714285714,0.9583333333333334,0.8846153846153846,24
81,82,ඩී,0.8846153846153846,0.9583333333333334,0.92,24
82,83,ඩු,0.9444444444444444,0.7083333333333334,0.8095238095238095,24
83,84,ඩූ,0.76,0.7916666666666666,0.7755102040816326,24
84,85,ඩ්,0.9130434782608695,0.875,0.8936170212765957,24
85,86,ඩෝ,0.9130434782608695,0.875,0.8936170212765957,24
86,87,ඩ්‍ර,0.8518518518518519,0.9583333333333334,0.9019607843137255,24
87,88,ඩ්‍ර්,0.9565217391304348,0.9166666666666666,0.9361702127659575,24
88,89,ඩ්‍රි,0.9565217391304348,0.9166666666666666,0.9361702127659575,24
89,90,ණ,0.9583333333333334,0.9583333333333334,0.9583333333333334,24
90,91,ණා,1.0,0.9166666666666666,0.9565217391304348,24
91,92,ණි,0.9583333333333334,0.9583333333333334,0.9583333333333334,24
92,93,ත,0.7741935483870968,1.0,0.8727272727272727,24
93,94,තා,0.9523809523809523,0.8333333333333334,0.8888888888888888,24
94,95,ති,1.0,0.9166666666666666,0.9565217391304348,24
95,96,තී,0.9565217391304348,0.9166666666666666,0.9361702127659575,24
96,97,තු,0.8148148148148148,0.9166666666666666,0.8627450980392157,24
97,98,තූ,0.9166666666666666,0.9166666666666666,0.9166666666666666,24
98,99,ත්,0.9166666666666666,0.9166666666666666,0.9166666666666666,24
99,100,තෝ,0.88,0.9166666666666666,0.8979591836734694,24
100,101,ත්‍ර,0.875,0.875,0.875,24
101,102,ත්‍රා,0.7931034482758621,0.9583333333333334,0.8679245283018868,24
102,103,ත්‍රි,0.9565217391304348,0.9166666666666666,0.9361702127659575,24
103,104,ත්‍රී,0.84,0.875,0.8571428571428571,24
104,105,ද ,0.96,1.0,0.9795918367346939,24
105,106,දා,0.8571428571428571,1.0,0.9230769230769231,24
106,107,දැ,0.9565217391304348,0.9166666666666666,0.9361702127659575,24
107,108,දෑ,1.0,0.9166666666666666,0.9565217391304348,24
108,109,දි,0.8214285714285714,0.9583333333333334,0.8846153846153846,24
109,110,දී,1.0,0.8333333333333334,0.9090909090909091,24
110,111,දු,0.7666666666666667,0.9583333333333334,0.8518518518518519,24
111,112,දූ,0.9565217391304348,0.9166666666666666,0.9361702127659575,24
112,113,ද්,0.92,0.9583333333333334,0.9387755102040817,24
113,114,දෝ,1.0,0.9583333333333334,0.9787234042553191,24
114,115,ද්‍ර,1.0,0.875,0.9333333333333333,24
115,116,ද්‍රෝ,1.0,1.0,1.0,24
116,117,ද්‍රා,0.9230769230769231,1.0,0.96,24
117,118,ද්‍රි,1.0,0.9583333333333334,0.9787234042553191,24
118,119,ද්‍රී,0.9583333333333334,0.9583333333333334,0.9583333333333334,24
119,120,න,0.8571428571428571,1.0,0.9230769230769231,24
120,121,නා,0.92,0.9583333333333334,0.9387755102040817,24
121,122,නැ,0.8214285714285714,0.9583333333333334,0.8846153846153846,24
122,123,නෑ,0.7857142857142857,0.4583333333333333,0.5789473684210527,24
123,124,නි,0.92,0.9583333333333334,0.9387755102040817,24
124,125,නී,0.9583333333333334,0.9583333333333334,0.9583333333333334,24
125,126,නු,0.9090909090909091,0.8333333333333334,0.8695652173913043,24
126,127,නූ,0.9230769230769231,1.0,0.96,24
127,128,න්,0.7419354838709677,0.9583333333333334,0.8363636363636363,24
128,129,නෝ,0.9545454545454546,0.875,0.9130434782608695,24
129,130,න්‍ර,0.9090909090909091,0.8333333333333334,0.8695652173913043,24
130,131,න්‍රා,0.9166666666666666,0.9166666666666666,0.9166666666666666,24
131,132,න්‍රි,0.8518518518518519,0.9583333333333334,0.9019607843137255,24
132,133,න්‍රී,0.9090909090909091,0.8333333333333334,0.8695652173913043,24
133,134,ප,0.7857142857142857,0.9166666666666666,0.8461538461538461,24
134,135,පා,0.96,1.0,0.9795918367346939,24
135,136,පැ,0.9230769230769231,1.0,0.96,24
136,137,පෑ,0.9130434782608695,0.875,0.8936170212765957,24
137,138,පි,0.9166666666666666,0.9166666666666666,0.9166666666666666,24
138,139,පී,0.9047619047619048,0.7916666666666666,0.8444444444444444,24
139,140,පු,0.6857142857142857,1.0,0.8135593220338984,24
140,141,පූ,0.8076923076923077,0.875,0.84,24
141,142,ප්,0.9583333333333334,0.9583333333333334,0.9583333333333334,24
142,143,ප්‍රෝ,0.8888888888888888,1.0,0.9411764705882353,24
143,144,පෝ,0.92,0.9583333333333334,0.9387755102040817,24
144,145,ප්‍ර,1.0,0.8333333333333334,0.9090909090909091,24
145,146,ප්‍රා,1.0,0.75,0.8571428571428571,24
146,147,ප්‍රි,0.8214285714285714,0.9583333333333334,0.8846153846153846,24
147,148,ප්‍රී,1.0,0.9583333333333334,0.9787234042553191,24
148,149,බ,0.88,0.9166666666666666,0.8979591836734694,24
149,150,බා,0.84,0.875,0.8571428571428571,24
150,151,බැ,0.9090909090909091,0.8333333333333334,0.8695652173913043,24
151,152,බෑ,0.8947368421052632,0.7083333333333334,0.7906976744186046,24
152,153,බි,0.8181818181818182,0.75,0.782608695652174,24
153,154,බී,0.7857142857142857,0.9166666666666666,0.8461538461538461,24
154,155,බු,1.0,0.75,0.8571428571428571,24
155,156,බූ,0.8148148148148148,0.9166666666666666,0.8627450980392157,24
156,157,බ්,0.95,0.7916666666666666,0.8636363636363636,24
157,158,බ්‍රෝ,0.9333333333333333,0.5833333333333334,0.717948717948718,24
158,159,බ්‍ර,0.9545454545454546,0.875,0.9130434782608695,24
159,160,බ්‍රා,1.0,0.875,0.9333333333333333,24
160,161,බ්‍රි,0.9545454545454546,0.875,0.9130434782608695,24
161,162,බ්‍රී,1.0,0.9583333333333334,0.9787234042553191,24
162,163,බ්‍රෝ,0.8148148148148148,0.9166666666666666,0.8627450980392157,24
163,164,ම,0.92,0.9583333333333334,0.9387755102040817,24
164,165,මා,0.96,1.0,0.9795918367346939,24
165,166,මැ,0.96,1.0,0.9795918367346939,24
166,167,මෑ,0.9,0.75,0.8181818181818182,24
167,168,මි,0.88,0.9166666666666666,0.8979591836734694,24
168,169,මී,1.0,0.875,0.9333333333333333,24
169,170,මු,1.0,0.75,0.8571428571428571,24
170,171,මූ,0.7857142857142857,0.9166666666666666,0.8461538461538461,24
171,172,ම්,0.9230769230769231,1.0,0.96,24
172,173,මෝ,0.9130434782608695,0.875,0.8936170212765957,24
173,174,ම්‍ර,0.8461538461538461,0.9166666666666666,0.88,24
174,175,ම්‍රා,0.9583333333333334,0.9583333333333334,0.9583333333333334,24
175,176,ම්‍රි,0.9545454545454546,0.875,0.9130434782608695,24
176,177,ම්‍රී,0.9166666666666666,0.9166666666666666,0.9166666666666666,24
177,178,ම්‍රෝ,0.875,0.875,0.875,24
178,179,ය,1.0,0.9583333333333334,0.9787234042553191,24
179,180,යා,0.96,1.0,0.9795918367346939,24
180,181,යැ,0.8846153846153846,0.9583333333333334,0.92,24
181,182,යෑ,0.9545454545454546,0.875,0.9130434782608695,24
182,183,යි,1.0,0.9583333333333334,0.9787234042553191,24
183,184,යී,0.9230769230769231,1.0,0.96,24
184,185,යු,0.42857142857142855,1.0,0.6,24
185,186,යූ,1.0,0.875,0.9333333333333333,24
186,187,ෝ,1.0,1.0,1.0,24
187,188,ය්,0.9583333333333334,0.9583333333333334,0.9583333333333334,24
188,189,hda,1.0,1.0,1.0,24
189,190,ර,0.96,1.0,0.9795918367346939,24
190,191,රා,1.0,1.0,1.0,24
191,192,රැ,0.8571428571428571,1.0,0.9230769230769231,24
192,193,රැ,1.0,0.7916666666666666,0.8837209302325582,24
193,194,රු,0.8846153846153846,0.9583333333333334,0.92,24
194,195,රූ,0.9545454545454546,0.875,0.9130434782608695,24
195,196,රි,0.9583333333333334,0.9583333333333334,0.9583333333333334,24
196,197,රී,0.88,0.9166666666666666,0.8979591836734694,24
197,198,ල,1.0,1.0,1.0,24
